,ID_Pedido,Prioridade_Pedido,Quantidade_Pedido,Vendas,Modo_Envio,Lucro,Nome_Cliente,Região,Tipo_Cliente,Categoria_Produto,SubCategoria_Produto,Nome_Produto,Embalagem_Produto
0,643,Alta,21,2781.82,Envio Expresso,-695.26,Monica Federle,Nunavut,Corporativo,Insumos de Escritório,Armazenamento e Organização,"SAFCO Commercial Wire Shelving, Black",Caixa Grande
1,8995,Alta,35,3389.93,Envio Expresso,737.94,Beth Paige,Northwest Territories,Consumidor,Mobília,Móveis de escritório,Luxo Professional Combination Clamp-On Lamps,Caixa Grande
2,9127,Não especificada,7,2039.56,Envio Expresso,-329.49,Bryan Davis,Northwest Territories,Corporativo,Insumos de Escritório,Armazenamento e Organização,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Caixa Grande
3,26272,Baixa,6,905.94,Envio Expresso,-4.19,Carlos Daly,Northwest Territories,Escritório em Casa,Mobília,Cadeiras e tapetes para cadeiras,Hon Olson Stacker Stools,Caixa Grande
4,36646,Média,24,1168.15,Envio Expresso,-743.96,Muhammed MacIntyre,Northwest Territories,Pequenas Empresas,Insumos de Escritório,Armazenamento e Organização,Tennsco Industrial Shelving,Caixa Grande
5,41696,Não especificada,45,237.28,Envio Expresso,-2088.68,Bryan Mills,Northwest Territories,Pequenas Empresas,Insumos de Escritório,Eletrodomésticos,Hoover Portapower™ Portable Vacuum,Caixa Grande
6,43267,Crítica,17,1368.14,Envio Expresso,171.26,Fred Wasserman,Northwest Territories,Escritório em Casa,Insumos de Escritório,Eletrodomésticos,Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room,Caixa Grande
7,29319,Baixa,21,4429.69,Envio Expresso,983.55,Filia McAdams,Atlantic,Pequenas Empresas,Tecnologia,Copiadoras e Fax,Canon PC-428 Personal Copier,Caixa Grande
8,5988,Não especificada,40,19109.61,Envio Expresso,-379.29,Sanjit Chand,West,Escritório em Casa,Tecnologia,Copiadoras e Fax,Sharp AL-1530CS Digital Copier,Caixa Grande
9,51073,Não especificada,17,2475.08,Envio Expresso,958.8,Luke Weiss,West,Corporativo,Mobília,Móveis de escritório,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Caixa Grande
10,29185,Alta,48,446.53,Envio Expresso,-261.45,Rob Dowd,West,Corporativo,Mobília,Móveis de escritório,Westinghouse Clip-On Gooseneck Lamps,Caixa Grande
11,32582,Não especificada,27,2780.88,Envio Expresso,595.38,Tony Chapman,West,Consumidor,Mobília,Móveis de escritório,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Caixa Grande
12,39332,Crítica,4,198.72,Envio Expresso,-34.43,Khloe Miller,West,Consumidor,Mobília,Móveis de escritório,Dana Halogen Swing-Arm Architect Lamp,Caixa Grande
13,49088,Crítica,15,4012.58,Envio Expresso,-425.14,Kristina Nunn,Atlantic,Consumidor,Insumos de Escritório,Armazenamento e Organização,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Caixa Grande
14,29318,Não especificada,21,2954.14,Envio Expresso,-522.94,Bobby Odegard,Ontario,Corporativo,Insumos de Escritório,Armazenamento e Organização,"SAFCO Commercial Wire Shelving, Black",Caixa Grande
15,50533,Não especificada,32,1974.66,Envio Expresso,-929.68,Adam Bellavance,Ontario,Pequenas Empresas,Insumos de Escritório,Armazenamento e Organização,Space Solutions Commercial Steel Shelving,Caixa Grande
16,21383,Baixa,31,16066.85,Envio Normal,7416.43,Rick Reed,Northwest Territories,Consumidor,Tecnologia,Máquinas de escritório,Polycom ViaVideo™ Desktop Video Communications Unit,Caixa Grande
17,48197,Não especificada,32,1282.49,Envio Normal,154.74,Anthony O'Donnell,West,Consumidor,Mobília,Móveis de escritório,Dana Halogen Swing-Arm Architect Lamp,Caixa Grande
18,25031,Alta,24,4636.62,Envio Normal,-318.45,Sally Knutson,West,Consumidor,Mobília,Mesas,Hon 2111 Invitation™ Series Corner Table,Caixa Grande
19,38758,Não especificada,7,497.2,Envio Normal,-219.61,Justin Hirsh,West,Consumidor,Insumos de Escritório,Eletrodomésticos,Euro Pro Shark Stick Mini Vacuum,Caixa Grande
20,41895,Crítica,8,27663.92,Envio Normal,-391.92,Tony Chapman,West,Consumidor,Tecnologia,Copiadoras e Fax,Canon imageCLASS 2200 Advanced Copier,Caixa Grande
21,53894,Crítica,37,2756.17,Envio Normal,-1561.72,Cathy Armstrong,Atlantic,Consumidor,Mobília,Mesas,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Caixa Grande
22,11969,Não especificada,16,1684.96,Envio Normal,-553.06,Ivan Liston,Atlantic,Consumidor,Insumos de Escritório,Armazenamento e Organização,"Carina Mini System Audio Rack, Model AR050B",Caixa Grande
23,22368,Média,34,2788.04,Envio Normal,-849.18,Sarah Jordon,Atlantic,Consumidor,Insumos de Escritório,Armazenamento e Organização,"Carina 42""Hx23 3/4""W Media Storage Unit",Caixa Grande
24,4612,Média,9,89.55,Envio Normal,-375.64,Jim Radford,Nunavut,Corporativo,Insumos de Escritório,Eletrodomésticos,Hoover Portapower™ Portable Vacuum,Caixa Grande
25,7110,Baixa,22,6396.2,Envio Normal,1902.24,Grant Carroll,Nunavut,Corporativo,Mobília,Cadeiras e tapetes para cadeiras,SAFCO Arco Folding Chair,Caixa Grande
26,9927,Alta,44,10087.6,Envio Normal,3387.35,Grant Carroll,Northwest Territories,Corporativo,Mobília,Cadeiras e tapetes para cadeiras,"Lifetime Advantage™ Folding Chairs, 4/Carton",Caixa Grande
27,11456,Baixa,15,1519.9,Envio Normal,399.37,Doug Bickford,Northwest Territories,Corporativo,Mobília,Móveis de escritório,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Caixa Grande
28,24743,Baixa,26,3758.77,Envio Normal,753.61,Sylvia Foulston,Northwest Territories,Corporativo,Mobília,Cadeiras e tapetes para cadeiras,Hon Olson Stacker Stools,Caixa Grande
29,30658,Média,35,17387.65,Envio Normal,6907.61,Charles McCrossin,Northwest Territories,Corporativo,Tecnologia,Copiadoras e Fax,Sharp AL-1530CS Digital Copier,Caixa Grande
30,30658,Média,44,6040.22,Envio Normal,-942.5,Charles McCrossin,Northwest Territories,Corporativo,Insumos de Escritório,Armazenamento e Organização,"SAFCO Commercial Wire Shelving, Black",Caixa Grande
31,31393,Crítica,4,97.57,Envio Normal,-27.31,Cindy Schnelling,Northwest Territories,Corporativo,Mobília,Móveis de escritório,Luxo Economy Swing Arm Lamp,Caixa Grande
32,34631,Não especificada,19,12616.2,Envio Normal,2808.22,Brendan Dodson,Northwest Territories,Corporativo,Tecnologia,Copiadoras e Fax,Canon PC1060 Personal Laser Copier,Caixa Grande
33,39683,Alta,41,8387.1,Envio Normal,2113.95,Jeremy Lonsdale,Northwest Territories,Corporativo,Mobília,Cadeiras e tapetes para cadeiras,"Lifetime Advantage™ Folding Chairs, 4/Carton",Caixa Grande
34,42209,Alta,31,8901.78,Envio Normal,2795.36,Alan Barnes,Northwest Territories,Corporativo,Mobília,Cadeiras e tapetes para cadeiras,SAFCO Arco Folding Chair,Caixa Grande
35,52964,Crítica,44,5735.79,Envio Normal,828.27,Jim Radford,Northwest Territories,Corporativo,Mobília,Móveis de escritório,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Caixa Grande
36,4007,Alta,1,305.82,Envio Normal,-232.24,Jack Lebron,Atlantic,Corporativo,Insumos de Escritório,Armazenamento e Organização,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Caixa Grande
37,11362,Baixa,9,6420.87,Envio Normal,-690.21,Hilary Holden,Atlantic,Corporativo,Tecnologia,Copiadoras e Fax,Canon PC1060 Personal Laser Copier,Caixa Grande
38,18788,Não especificada,27,566.12,Envio Normal,-19.33,Joy Smith,Atlantic,Corporativo,Mobília,Móveis de escritório,Telescoping Adjustable Floor Lamp,Caixa Grande
39,20033,Crítica,5,2543.95,Envio Normal,-1011.32,Jack Lebron,Atlantic,Corporativo,Tecnologia,Copiadoras e Fax,Sharp AL-1530CS Digital Copier,Caixa Grande
40,22469,Alta,24,1482.81,Envio Normal,-678.63,Jack Lebron,Atlantic,Corporativo,Insumos de Escritório,Eletrodomésticos,Euro Pro Shark Stick Mini Vacuum,Caixa Grande
41,22469,Alta,23,6693.28,Envio Normal,40.32,Jack Lebron,Atlantic,Corporativo,Mobília,Mesas,Hon 5100 Series Wood Tables,Caixa Grande
42,30243,Crítica,21,4242.76,Envio Normal,340.88,Hilary Holden,Atlantic,Corporativo,Tecnologia,Copiadoras e Fax,Canon PC-428 Personal Copier,Caixa Grande
43,32199,Alta,1,3672.89,Envio Normal,-3061.82,Erica Bern,Atlantic,Corporativo,Tecnologia,Copiadoras e Fax,Canon imageCLASS 2200 Advanced Copier,Caixa Grande
44,33763,Não especificada,23,10791.38,Envio Normal,-234.79,Evan Minnotte,Atlantic,Corporativo,Tecnologia,Copiadoras e Fax,Sharp AL-1530CS Digital Copier,Caixa Grande
45,36677,Baixa,38,23255.61,Envio Normal,-734.33,Jack Lebron,Atlantic,Corporativo,Tecnologia,Copiadoras e Fax,Canon Image Class D660 Copier,Caixa Grande
46,38310,Alta,4,62.45,Envio Normal,-141.76,Jack Lebron,Atlantic,Corporativo,Insumos de Escritório,Eletrodomésticos,Hoover® Commercial Lightweight Upright Vacuum,Caixa Grande
47,47846,Alta,5,66.43,Envio Normal,-9.45,Hilary Holden,Atlantic,Corporativo,Mobília,Móveis de escritório,Dana Swing-Arm Lamps,Caixa Grande
48,50404,Alta,10,1961.68,Envio Normal,-367.0,Guy Armstrong,Prarie,Corporativo,Mobília,Mesas,"Lesro Round Back Collection Coffee Table, End Table",Caixa Grande
49,51461,Não especificada,43,858.53,Envio Normal,-97.54,Greg Guthrie,Prarie,Corporativo,Mobília,Móveis de escritório,Telescoping Adjustable Floor Lamp,Caixa Grande
50,54501,Crítica,38,783.96,Envio Normal,-1195.29,Guy Armstrong,Prarie,Corporativo,Insumos de Escritório,Armazenamento e Organização,Tennsco Commercial Shelving,Caixa Grande
51,55138,Alta,22,1132.54,Envio Normal,-628.38,Jim Sink,Prarie,Corporativo,Insumos de Escritório,Armazenamento e Organização,Tennsco Industrial Shelving,Caixa Grande
52,44320,Média,49,7002.08,Envio Normal,-1640.51,Sally Knutson,West,Corporativo,Mobília,Mesas,Laminate Occasional Tables,Caixa Grande
53,1925,Crítica,7,1874.37,Envio Normal,67.84,Brian Moss,West,Corporativo,Mobília,Cadeiras e tapetes para cadeiras,SAFCO Arco Folding Chair,Caixa Grande
54,24070,Alta,3,431.29,Envio Normal,-164.59,Sonia Sunley,West,Corporativo,Mobília,Cadeiras e tapetes para cadeiras,Hon Olson Stacker Stools,Caixa Grande
55,52035,Alta,29,20872.16,Envio Normal,-4437.91,Roy Skaria,West,Corporativo,Tecnologia,Copiadoras e Fax,Canon PC1060 Personal Laser Copier,Caixa Grande
56,4261,Crítica,32,9235.97,Envio Normal,2848.17,Lela Donovan,West,Corporativo,Insumos de Escritório,Eletrodomésticos,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Caixa Grande
57,8992,Alta,3,441.43,Envio Normal,-154.45,Shahid Shariari,West,Corporativo,Mobília,Cadeiras e tapetes para cadeiras,Hon Olson Stacker Stools,Caixa Grande
58,20961,Não especificada,34,6607.92,Envio Normal,1462.72,Lela Donovan,West,Corporativo,Tecnologia,Copiadoras e Fax,Canon PC-428 Personal Copier,Caixa Grande
59,47750,Baixa,1,195.04,Envio Normal,-149.41,Sally Knutson,Atlantic,Corporativo,Insumos de Escritório,Armazenamento e Organização,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Caixa Grande
60,48230,Não especificada,31,2645.8,Envio Normal,-684.78,Dana Kaydos,Prarie,Corporativo,Insumos de Escritório,Armazenamento e Organização,"Carina 42""Hx23 3/4""W Media Storage Unit",Caixa Grande
61,36449,Não especificada,6,90.75,Envio Normal,-26.39,Bruce Stewart,Ontario,Corporativo,Mobília,Móveis de escritório,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Caixa Grande
62,53152,Média,9,196.41,Envio Normal,27.91,Bill Eplett,Ontario,Corporativo,Mobília,Móveis de escritório,Telescoping Adjustable Floor Lamp,Caixa Grande
